student_id,cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,company_type,job_role,salary_lpa
S48,7.06,EEE,3,0,1,1,1,12.4,8.4,96.3,0,3,2,72.4,3,0,None,None,0.0

S49,8.91,EEE,3,1,1,1,1,18.6,5.4,78.0,3,1,1,90.1,4,1,MNC,Analyst,80.4

S50,6.51,Mechanical,1,1,1,0,1,38.4,7.3,94.4,1,3,0,75.2,3,1,Mid-size,Software Engineer,55.36

S51,7.48,Civil,3,1,1,1,1,70.7,8.7,48.6,0,2,1,79.9,4,1,Mid-size,Analyst,56.61

S52,5.64,Civil,2,1,1,0,0,72.2,8.3,78.5,1,4,1,75.9,2,1,Mid-size,Software Engineer,56.36

S53,7.12,ECE,2,0,1,1,0,10.1,5.5,83.6,1,4,0,68.5,2,1,Mid-size,Data Scientist,49.91

S54,8.03,EEE,1,1,1,1,1,45.1,4.7,99.1,2,6,1,102.4,4,1,MNC,Analyst,86.2

S55,8.72,Mechanical,1,0,1,0,0,41.5,9.2,95.4,1,3,1,62.1,1,1,Startup,Software Engineer,43.04

S56,5.88,Civil,2,1,0,1,0,58.1,7.8,40.8,1,1,2,54.9,2,0,None,None,0.0

S57,5.43,Civil,3,1,1,0,0,75.0,5.3,93.9,0,5,0,59.7,2,1,MNC,Data Scientist,71.12

S58,7.64,IT,2,1,1,0,1,10.3,6.0,44.5,2,2,0,79.4,3,1,MNC,Data Scientist,71.19

S59,8.29,Mechanical,3,0,0,0,1,2.0,4.6,88.0,0,1,0,31.0,1,0,None,None,0.0

S60,9.94,CSE,3,1,1,1,1,14.1,6.4,59.4,0,2,0,66.3,4,1,MNC,Analyst,81.42

S61,9.46,EEE,1,1,0,0,0,59.0,5.6,77.4,1,6,0,70.4,1,1,Startup,Software Engineer,53.15

S62,5.57,ECE,2,1,1,0,0,48.5,7.1,84.5,1,1,0,52.7,2,1,Mid-size,Data Scientist,57.42

S63,6.36,CSE,1,0,1,0,0,27.4,7.3,79.1,2,5,0,73.3,1,1,Startup,Software Engineer,49.41

S64,8.0,CSE,3,1,0,1,0,38.3,7.1,42.8,0,3,0,52.2,2,1,MNC,Web Developer,83.35

S65,9.58,CSE,3,1,1,1,0,95.4,4.8,69.0,0,4,0,67.8,3,1,Mid-size,Data Scientist,55.88

S66,7.37,IT,3,0,0,0,1,59.8,6.8,44.6,0,4,0,48.1,1,1,Startup,Web Developer,39.45

S67,9.59,Mechanical,1,0,1,0,0,54.2,9.2,83.9,2,5,0,86.1,1,1,Startup,Analyst,46.39

S68,9.94,Mechanical,3,1,0,1,1,18.1,7.4,94.9,0,5,1,74.1,3,1,MNC,Web Developer,87.76

S69,5.27,IT,3,1,1,0,1,36.5,7.4,68.9,2,3,0,89.4,3,1,MNC,Data Scientist,82.78

S70,6.59,Civil,2,1,1,0,0,2.4,9.2,41.3,2,5,0,96.9,2,1,MNC,Web Developer,64.57

S71,5.19,Civil,3,1,1,0,0,9.2,6.0,71.4,2,1,0,61.5,2,0,None,None,0.0

S72,6.48,ECE,2,0,0,0,1,42.8,6.3,80.8,0,2,1,36.5,1,0,None,None,0.0

S73,9.91,Mechanical,2,1,1,1,1,74.3,4.4,64.1,2,6,0,103.3,4,1,MNC,Software Engineer,76.96

S74,8.9,IT,1,1,0,1,1,92.8,10.0,50.4,1,2,0,85.0,3,1,Top Tech,Software Engineer,112.85

S75,5.17,ECE,1,1,1,0,0,27.3,6.9,42.7,2,2,1,72.3,2,1,MNC,Data Scientist,73.41

S76,6.3,Mechanical,1,1,1,0,0,68.3,4.5,91.1,1,6,0,76.7,2,1,Mid-size,Software Engineer,60.27

S77,9.39,CSE,3,1,1,1,1,70.8,9.0,81.8,1,3,1,88.6,4,1,Mid-size,Software Engineer,56.42

S78,5.64,IT,1,0,1,0,1,83.2,7.0,40.4,0,6,0,71.6,2,1,MNC,Software Engineer,66.63

S79,5.64,ECE,1,0,0,0,1,39.2,5.1,85.2,2,4,0,61.0,1,1,Startup,Data Scientist,43.58

S80,7.91,ECE,3,0,1,0,1,97.3,9.8,85.0,0,5,0,70.1,2,1,MNC,Web Developer,89.29

S81,5.01,IT,3,0,1,1,0,85.4,7.2,89.6,0,2,1,48.9,2,0,None,None,0.0

S82,9.34,IT,3,1,0,1,1,85.7,9.8,85.6,1,3,0,88.3,3,1,MNC,Web Developer,73.23

S83,6.84,IT,2,1,1,1,0,86.9,8.7,86.3,2,4,0,99.1,3,1,Mid-size,Web Developer,76.01

S84,7.31,IT,1,0,1,0,0,55.8,5.4,49.6,1,5,0,64.2,1,1,Startup,Software Engineer,41.09

S85,5.36,Civil,2,1,1,0,0,69.5,9.2,86.8,0,6,1,74.1,2,1,MNC,Analyst,65.27

S86,6.05,EEE,2,0,1,1,0,53.4,9.3,45.0,2,2,0,74.2,2,1,Mid-size,Web Developer,67.66

S87,5.84,Civil,1,0,1,1,0,93.6,4.3,72.5,2,2,0,65.7,2,1,MNC,Software Engineer,84.67

S88,7.99,CSE,2,1,1,0,0,43.9,8.3,75.6,1,1,1,57.1,2,1,MNC,Analyst,71.64

S89,8.29,CSE,1,1,1,1,0,99.6,9.8,79.0,0,3,0,73.6,3,1,MNC,Data Scientist,77.34

S90,7.08,IT,3,1,1,1,1,50.5,7.3,70.8,1,2,1,81.8,4,1,Mid-size,Web Developer,60.73

S91,7.96,IT,2,1,0,0,1,73.3,4.8,82.9,3,2,0,79.1,2,1,Mid-size,Data Scientist,62.38

S92,9.35,ECE,2,1,1,0,0,16.4,6.3,98.2,0,5,0,64.8,2,1,MNC,Data Scientist,67.0

S93,9.42,CSE,2,1,0,0,1,14.6,6.7,75.3,3,1,0,71.8,2,1,Mid-size,Software Engineer,65.88

S94,9.22,CSE,3,1,1,1,0,11.2,5.6,43.4,1,4,0,78.2,3,1,MNC,Software Engineer,65.88

S95,7.92,CSE,1,1,0,0,1,1.7,5.9,98.4,1,3,0,64.4,2,1,MNC,Data Scientist,70.15

S96,6.01,EEE,2,1,1,0,1,44.4,9.2,50.6,1,2,0,72.8,3,1,Mid-size,Web Developer,71.63

S97,5.57,IT,2,1,1,0,1,82.7,8.0,74.6,0,2,3,59.5,3,1,MNC,Software Engineer,90.79

S98,7.84,IT,2,1,1,0,0,66.8,8.8,85.7,2,3,1,80.2,2,1,Mid-size,Software Engineer,60.38

S99,8.05,EEE,2,1,0,0,0,54.6,6.7,40.9,1,6,0,72.7,1,1,Startup,Web Developer,47.95

S100,9.24,ECE,2,1,1,0,0,52.7,5.5,68.6,1,6,1,78.7,2,1,Mid-size,Web Developer,61.84

S101,5.36,IT,1,1,1,0,0,47.9,5.2,50.0,1,5,0,68.7,2,1,MNC,Analyst,70.99

S102,8.58,IT,1,0,0,0,0,68.1,5.1,71.5,2,1,0,37.9,0,1,Startup,Software Engineer,45.55

S103,7.75,Civil,2,0,1,1,1,81.9,9.3,53.7,0,2,0,66.5,3,1,Mid-size,Software Engineer,63.57

S104,6.51,CSE,3,1,1,0,1,76.7,4.9,65.4,0,1,1,53.3,3,0,None,None,0.0

S105,5.48,EEE,3,0,1,0,0,23.2,6.3,75.7,1,2,0,49.9,1,0,None,None,0.0

S106,7.21,Mechanical,1,1,1,0,0,81.9,7.6,60.2,3,5,0,93.7,2,1,MNC,Software Engineer,78.17

S107,6.77,Mechanical,1,0,1,0,1,23.4,7.2,92.8,1,6,0,81.2,2,1,MNC,Data Scientist,72.56

S108,9.98,CSE,3,1,0,0,0,96.2,7.8,85.3,0,2,0,42.9,1,1,Startup,Software Engineer,45.31

S109,8.98,Civil,1,1,0,0,0,99.2,9.6,72.4,2,5,0,81.4,1,1,Startup,Web Developer,54.93

S110,7.53,CSE,3,0,0,0,0,34.2,6.3,60.8,0,1,0,22.9,0,0,None,None,0.0

S111,8.0,IT,3,1,1,0,1,85.1,5.3,95.8,0,2,0,57.6,3,1,Mid-size,Software Engineer,52.15

S112,9.09,Mechanical,1,0,0,0,0,95.7,7.4,96.0,1,5,1,61.4,0,1,Startup,Web Developer,48.9

S113,5.87,Civil,3,1,0,0,0,6.8,4.2,48.1,3,4,1,68.8,1,0,None,None,0.0

S114,9.68,Mechanical,3,1,0,1,0,1.8,7.6,61.9,1,5,1,77.4,2,0,None,None,0.0

S115,9.97,ECE,2,0,1,1,0,14.2,4.7,58.2,0,4,0,55.4,2,1,MNC,Data Scientist,65.24

S116,8.28,Civil,3,1,1,1,0,65.4,6.1,71.5,1,5,0,87.9,3,1,MNC,Analyst,81.47

S117,7.91,IT,2,1,0,0,0,83.4,7.8,51.9,0,4,0,51.1,1,1,Startup,Web Developer,43.95

S118,5.75,IT,3,0,1,0,1,81.1,7.7,91.6,1,2,1,67.7,2,1,MNC,Analyst,84.12

S119,6.27,EEE,2,1,0,1,0,63.7,8.0,93.7,1,1,0,59.2,2,1,Mid-size,Software Engineer,61.74

S120,5.21,CSE,2,0,1,0,0,1.2,9.7,84.3,1,6,3,83.8,1,1,Startup,Software Engineer,44.96

S121,7.06,CSE,3,1,1,0,0,8.3,7.1,93.9,2,1,3,68.0,2,0,None,None,0.0

S122,6.28,IT,3,0,0,1,0,89.6,5.9,47.5,1,2,0,48.5,1,1,Startup,Analyst,49.6

S123,5.64,IT,2,0,1,0,0,43.2,6.6,76.8,3,6,2,91.6,1,1,Startup,Software Engineer,42.07

S124,8.36,IT,2,0,1,0,0,63.6,5.3,98.7,2,6,1,77.5,1,1,Startup,Analyst,49.38

S125,9.69,IT,2,0,0,0,1,81.8,5.3,70.4,2,5,0,73.5,1,1,Startup,Analyst,47.14

S126,5.76,Mechanical,3,0,1,1,0,16.1,7.3,88.7,2,3,3,72.9,2,0,None,None,0.0

S127,9.0,Mechanical,1,0,1,1,1,18.8,6.1,87.0,1,6,1,91.7,3,1,MNC,Analyst,87.71

S128,8.39,Civil,1,1,1,0,0,12.5,6.3,78.6,2,6,0,87.8,2,1,Mid-size,Data Scientist,49.88

S129,6.78,ECE,1,1,0,0,0,64.2,4.4,74.8,1,4,0,53.1,1,1,Startup,Software Engineer,42.34

S130,6.61,Civil,3,1,0,0,1,98.2,5.3,89.5,1,5,0,69.2,2,1,MNC,Data Scientist,73.24

S131,8.68,ECE,2,1,1,0,0,63.6,8.7,47.1,1,6,1,88.5,2,1,MNC,Data Scientist,86.1

S132,5.83,Civil,2,1,1,0,1,93.0,8.7,43.4,2,2,1,89.5,3,1,Mid-size,Data Scientist,64.4

S133,5.67,Civil,3,0,1,0,0,73.0,8.6,49.5,1,4,0,70.0,1,1,Startup,Analyst,38.02

S134,5.22,Mechanical,2,0,0,0,1,97.5,6.2,65.7,2,6,0,78.5,1,1,Startup,Analyst,42.88

S135,5.7,CSE,1,1,0,0,1,2.2,8.0,97.8,1,5,0,78.2,2,1,Mid-size,Web Developer,66.09

S136,8.27,ECE,1,0,1,0,1,60.9,6.1,46.8,0,4,0,54.2,2,1,MNC,Software Engineer,87.73

S137,7.02,ECE,1,1,1,0,1,22.6,9.1,65.7,0,6,1,89.0,3,1,MNC,Analyst,82.5

S138,5.31,IT,3,1,1,0,0,78.6,5.2,55.5,0,4,1,55.8,2,0,None,None,0.0

S139,9.39,EEE,3,1,1,0,0,98.5,8.6,41.6,0,6,0,73.6,2,1,Mid-size,Web Developer,60.46

S140,6.99,Mechanical,1,0,0,0,0,9.4,6.1,85.4,0,1,0,27.5,0,0,None,None,0.0

S141,5.79,CSE,1,1,1,0,1,90.6,5.7,99.0,0,1,0,50.7,3,1,MNC,Data Scientist,75.33

S142,9.84,Mechanical,1,1,0,1,0,98.8,6.9,47.3,2,2,0,74.5,2,1,MNC,Analyst,71.46

S143,7.64,Mechanical,3,1,1,0,1,18.7,9.1,89.1,1,3,1,87.2,3,1,Mid-size,Data Scientist,56.33

S144,9.1,EEE,1,1,1,0,0,8.7,8.3,65.2,3,3,0,92.4,2,1,Mid-size,Software Engineer,61.19

S145,7.36,ECE,2,1,1,0,1,32.5,8.1,44.2,0,1,0,64.2,3,1,MNC,Software Engineer,75.38

S146,6.08,ECE,1,1,0,1,0,75.9,9.4,54.0,2,4,0,85.8,2,1,Mid-size,Data Scientist,63.21

S147,7.24,Civil,1,1,1,0,0,97.7,4.7,65.4,0,6,2,61.9,2,1,MNC,Analyst,90.3

S148,9.02,Mechanical,2,0,1,1,0,82.9,5.7,92.4,0,6,0,62.8,2,1,MNC,Data Scientist,80.03

S149,9.12,IT,1,0,0,1,0,6.4,9.3,92.6,0,6,1,64.8,1,1,Startup,Data Scientist,41.26

S150,5.17,EEE,1,1,1,1,0,6.4,9.0,75.9,0,5,0,77.3,3,1,MNC,Data Scientist,83.62

S151,8.47,Civil,2,0,1,0,0,34.1,5.0,50.2,3,6,0,87.0,1,1,Startup,Web Developer,44.46

S152,6.92,Civil,3,1,1,1,1,74.4,7.0,78.0,0,1,0,61.4,4,1,Mid-size,Data Scientist,56.63

S153,7.25,ECE,1,1,1,0,0,47.4,7.5,72.2,2,1,0,62.9,2,1,MNC,Software Engineer,87.9

S154,7.56,EEE,1,0,1,0,0,61.7,4.7,60.7,1,1,0,40.9,1,1,Startup,Web Developer,45.06

S155,5.83,IT,1,1,1,1,1,25.8,8.0,57.8,2,4,1,99.0,4,1,MNC,Web Developer,73.67

S156,8.02,ECE,2,1,0,0,0,36.9,4.7,65.1,2,1,0,47.3,1,1,Startup,Data Scientist,43.52

S157,8.23,IT,1,1,1,0,0,11.6,4.9,50.3,1,5,2,65.4,2,1,MNC,Data Scientist,61.99

S158,6.48,EEE,2,1,1,0,0,55.9,6.1,83.8,1,4,0,71.8,2,1,MNC,Analyst,80.42

S159,7.95,CSE,2,0,0,0,0,75.9,4.6,93.4,0,3,0,30.9,0,1,Startup,Analyst,38.24

S160,7.15,Civil,3,0,1,0,0,2.5,7.9,78.2,0,3,0,46.8,1,0,None,None,0.0

S161,8.03,EEE,3,1,0,1,0,68.8,4.8,69.1,0,3,0,45.8,2,0,None,None,0.0

S162,6.04,Mechanical,2,1,0,0,0,14.7,6.9,47.8,2,5,2,73.8,1,1,Startup,Software Engineer,46.18

S163,9.92,CSE,2,0,1,0,0,34.0,7.2,49.2,1,2,0,49.1,1,1,Startup,Data Scientist,44.47

S164,8.55,Mechanical,2,0,1,0,0,83.1,7.3,49.9,1,5,0,68.2,1,1,Startup,Software Engineer,47.88

S165,9.4,CSE,3,1,1,0,0,39.5,4.2,68.5,1,3,0,58.5,2,1,MNC,Web Developer,73.67

S166,8.73,ECE,3,1,0,0,0,3.4,9.8,96.9,1,4,0,73.0,1,1,Startup,Analyst,41.56

S167,6.02,EEE,3,1,0,0,0,57.7,9.2,98.8,1,3,0,63.5,1,1,Startup,Software Engineer,47.02

S168,5.3,EEE,3,0,1,0,0,31.2,5.5,41.8,3,5,2,76.7,1,0,None,None,0.0

S169,8.44,IT,2,1,1,0,0,35.9,8.8,56.7,0,1,1,56.3,2,0,None,None,0.0

S170,9.97,CSE,3,0,0,0,0,63.3,4.4,40.3,3,4,0,65.9,0,1,Startup,Web Developer,45.74

S171,7.44,CSE,3,0,0,0,0,34.9,4.7,88.5,3,2,0,50.1,0,1,Startup,Data Scientist,43.55

S172,9.21,ECE,2,0,1,0,1,66.7,5.3,91.8,1,6,0,73.6,2,1,MNC,Software Engineer,89.54

S173,6.1,Civil,2,0,0,0,1,18.8,8.3,92.0,1,4,0,60.6,1,1,Startup,Analyst,40.42

S174,9.11,Civil,1,1,1,0,0,77.5,5.6,69.8,0,2,1,49.0,2,1,MNC,Analyst,66.47

S175,8.92,Mechanical,2,1,1,1,0,46.7,6.0,96.4,0,4,0,66.6,3,1,Mid-size,Web Developer,58.16

S176,9.46,ECE,2,1,1,0,1,8.9,8.1,69.6,1,3,1,81.1,3,1,MNC,Analyst,88.45

S177,6.39,Mechanical,1,0,1,1,0,47.5,7.8,100.0,0,6,2,73.4,2,1,MNC,Data Scientist,68.07

S178,6.85,EEE,3,0,1,0,1,85.0,5.3,79.4,1,6,0,77.7,2,1,MNC,Web Developer,70.96

S179,8.69,Civil,3,0,1,0,1,19.9,9.3,57.2,1,1,1,65.7,2,1,MNC,Data Scientist,81.79

S180,9.56,Mechanical,3,1,1,1,0,73.6,6.0,94.4,0,5,0,77.6,3,1,Mid-size,Analyst,60.07

S181,8.86,EEE,3,1,1,0,0,77.0,8.8,47.2,0,5,0,73.8,2,1,Mid-size,Software Engineer,64.47

S182,8.32,ECE,2,1,1,0,0,83.0,7.6,57.5,0,3,0,53.5,2,1,MNC,Data Scientist,80.21

S183,7.37,EEE,3,0,1,1,1,99.1,7.3,97.8,0,1,0,59.2,3,1,Mid-size,Analyst,70.41

S184,6.38,EEE,2,1,1,1,0,64.3,8.9,96.8,0,6,0,90.6,3,1,MNC,Web Developer,68.88

S185,8.15,Civil,1,1,0,1,0,24.2,7.0,80.8,0,6,2,73.6,2,1,MNC,Web Developer,74.55

S186,9.32,Civil,1,1,1,0,0,99.5,7.2,63.5,1,1,0,61.1,2,1,Mid-size,Software Engineer,75.89

S187,6.3,ECE,3,1,1,0,1,98.1,5.1,87.6,3,2,0,84.3,3,1,Mid-size,Analyst,64.75

S188,8.87,CSE,1,0,0,0,1,96.0,8.6,91.3,1,5,0,69.4,1,1,Startup,Analyst,44.79

S189,6.11,IT,1,0,1,1,0,42.9,4.2,68.9,1,2,2,49.1,2,1,Mid-size,Data Scientist,56.87

S190,7.41,CSE,1,1,0,0,0,44.4,5.7,77.3,3,5,0,80.7,1,1,Startup,Data Scientist,41.32

S191,9.59,EEE,3,0,1,0,0,3.6,5.1,92.0,0,5,0,52.5,1,0,None,None,0.0

S192,7.14,CSE,2,0,1,0,0,90.4,9.1,64.1,2,2,1,67.7,1,1,Startup,Web Developer,43.46

S193,7.97,Civil,3,0,1,0,0,87.9,6.8,45.7,2,5,1,78.1,1,1,Startup,Data Scientist,52.09

S194,7.32,Civil,3,0,0,1,0,54.7,7.2,75.4,0,6,0,66.3,1,1,Startup,Web Developer,40.25

S195,6.15,EEE,2,0,1,1,0,66.3,8.5,90.9,1,2,1,68.7,2,1,MNC,Data Scientist,68.57

S196,10.0,IT,3,1,0,1,0,15.0,6.3,64.9,2,3,0,74.1,2,1,Mid-size,Software Engineer,60.15

S197,9.75,CSE,2,1,0,0,1,70.8,5.0,98.3,1,2,0,57.1,2,1,Mid-size,Data Scientist,67.47

S198,9.31,IT,3,0,1,0,0,33.6,9.9,91.4,2,4,0,79.1,1,1,Startup,Web Developer,44.44

S199,7.53,CSE,3,1,1,0,1,12.4,8.8,77.0,2,4,0,96.4,3,1,MNC,Data Scientist,82.12

S200,6.54,CSE,2,1,0,1,1,95.2,5.4,92.8,2,4,0,84.4,3,1,MNC,Data Scientist,70.95

S201,9.68,EEE,3,1,1,0,0,16.3,5.1,41.2,1,5,0,71.5,2,1,Mid-size,Analyst,54.9

S202,8.92,EEE,3,0,0,0,0,5.7,6.2,96.7,1,6,1,54.8,0,0,None,None,0.0

S203,8.93,Civil,3,1,1,0,1,91.5,4.1,67.0,3,2,3,78.4,3,1,Mid-size,Web Developer,70.83

S204,6.73,Mechanical,2,1,0,0,0,26.9,5.7,79.4,3,3,0,68.8,1,1,Startup,Data Scientist,38.99

S205,8.48,Civil,2,1,0,0,1,70.4,6.2,73.8,1,6,0,76.3,2,1,Mid-size,Web Developer,70.59

S206,5.77,ECE,1,1,1,1,0,58.8,8.2,80.8,1,1,0,74.0,3,1,Mid-size,Analyst,56.71

S207,8.09,Mechanical,2,1,0,0,0,74.3,6.0,93.4,0,1,0,30.6,1,1,Startup,Data Scientist,43.78

S208,7.95,ECE,2,1,1,0,1,9.1,5.2,92.6,2,1,0,68.3,3,1,MNC,Software Engineer,78.44

S209,8.03,Civil,2,1,0,1,1,80.5,8.9,96.0,1,6,0,96.8,3,1,Mid-size,Data Scientist,61.56

S210,7.14,ECE,2,0,1,0,1,91.5,9.2,42.1,2,2,0,75.1,2,1,MNC,Analyst,82.85

S211,9.68,Mechanical,1,0,1,0,0,2.2,5.8,70.2,0,6,0,54.5,1,1,Startup,Data Scientist,41.22

S212,7.04,IT,1,1,0,0,1,94.3,8.5,83.2,2,3,0,78.4,2,1,MNC,Web Developer,84.2

S213,6.78,Civil,1,1,1,1,0,91.4,9.7,59.6,1,2,0,76.4,3,1,MNC,Data Scientist,73.9

S214,6.74,CSE,2,1,1,1,0,46.2,6.5,40.8,0,5,0,76.7,3,1,MNC,Web Developer,77.23

S215,9.31,ECE,3,1,1,0,0,34.5,6.5,83.9,2,2,0,65.6,2,1,MNC,Web Developer,81.46

S216,5.29,EEE,1,1,0,0,1,61.6,7.3,64.9,1,3,0,66.0,2,1,MNC,Data Scientist,73.15

S217,7.88,EEE,2,0,1,0,0,93.3,6.6,98.8,1,5,0,68.8,1,1,Startup,Software Engineer,46.32

S218,5.09,Mechanical,2,1,0,0,0,62.8,8.1,55.2,0,4,0,56.8,1,1,Startup,Web Developer,45.83

S219,5.64,CSE,2,0,1,0,1,40.5,6.9,40.8,1,1,1,59.7,2,0,None,None,0.0

S220,5.33,ECE,2,1,0,0,1,6.7,7.9,44.4,1,5,3,76.0,2,1,MNC,Web Developer,70.19

S221,8.65,Mechanical,3,1,1,0,0,4.5,6.1,95.8,1,2,0,58.1,2,0,None,None,0.0

